Date,Date,Open,High,Low,Close,Volume,Adj Close
2016-11-16,42690,18909.84961,18909.84961,18825.89063,18868.14063,87320000,18868.14063
2016-11-15,42689,18858.21094,18925.25977,18806.06055,18923.06055,100660000,18923.06055
2016-11-14,42688,18876.76953,18934.05078,18815.75,18868.68945,112250000,18868.68945
2016-11-11,42685,18781.65039,18855.7793,18736.96094,18847.66016,107300000,18847.66016
2016-11-10,42684,18603.14063,18873.66016,18603.14063,18807.88086,164390000,18807.88086
2016-11-09,42683,18317.25977,18650.06055,18252.55078,18589.68945,173110000,18589.68945
2016-11-08,42682,18251.38086,18400.5,18200.75,18332.74023,79820000,18332.74023
2016-11-07,42681,17994.64063,18263.30078,17994.64063,18259.59961,93450000,18259.59961
2016-11-04,42678,17928.34961,17986.75977,17883.56055,17888.2793,97760000,17888.2793
2016-11-03,42677,17978.75,18006.96094,17904.07031,17930.66992,77860000,17930.66992
2016-11-02,42676,18017.7207,18044.15039,17931.89063,17959.64063,88610000,17959.64063
2016-11-01,42675,18158.24023,18177.00977,17940.83984,18037.09961,101280000,18037.09961
2016-10-31,42674,18176.59961,18193.67969,18130.58008,18142.41992,110080000,18142.41992
2016-10-28,42671,18193.78906,18257.06055,18094.9707,18161.18945,107850000,18161.18945
2016-10-27,42670,18234.81055,18253.19922,18149.19922,18169.67969,83530000,18169.67969
2016-10-26,42669,18103.80078,18236.03906,18062.30078,18199.33008,86340000,18199.33008
2016-10-25,42668,18206.51953,18241.68945,18151.69922,18169.26953,83190000,18169.26953
2016-10-24,42667,18197.14063,18275.03906,18191.17969,18223.0293,88540000,18223.0293
2016-10-21,42664,18152.63086,18168.75977,18049.76953,18145.71094,117810000,18145.71094
2016-10-20,42663,18161.86914,18249.05078,18129.07031,18162.34961,88830000,18162.34961
2016-10-19,42662,18178.21094,18252.19922,18169.25,18202.61914,88040000,18202.61914
2016-10-18,42661,18145.06055,18225.80078,18129.44922,18161.93945,74600000,18161.93945
2016-10-17,42660,18135.84961,18162.2793,18063.01953,18086.40039,75960000,18086.40039
2016-10-14,42657,18177.34961,18261.10938,18138.38086,18138.38086,87050000,18138.38086
2016-10-13,42656,18088.32031,18137.69922,17959.94922,18098.93945,83160000,18098.93945
2016-10-12,42655,18132.63086,18193.96094,18082.08984,18144.19922,72230000,18144.19922
2016-10-11,42654,18308.42969,18312.33008,18061.96094,18128.66016,88610000,18128.66016
2016-10-10,42653,18282.94922,18399.96094,18282.94922,18329.03906,72110000,18329.03906
2016-10-07,42650,18295.34961,18319.73047,18149.34961,18240.49023,82680000,18240.49023
2016-10-06,42649,18280.41992,18288.11914,18162.9707,18268.5,78660000,18268.5
2016-10-05,42648,18205.5,18315.82031,18205.5,18281.0293,76190000,18281.0293
2016-10-04,42647,18267.67969,18313.76953,18116.25977,18168.44922,79710000,18168.44922
2016-10-03,42646,18279.59961,18279.80078,18203.75,18253.84961,68520000,18253.84961
2016-09-30,42643,18181.80078,18369.61914,18181.80078,18308.15039,135470000,18308.15039
2016-09-29,42642,18322.88086,18366.23047,18091.64063,18143.44922,95880000,18143.44922
2016-09-28,42641,18240.2207,18349.85938,18179.33984,18339.24023,97650000,18339.24023
2016-09-27,42640,18099.21094,18238.09961,18052.16016,18228.30078,84130000,18228.30078
2016-09-26,42639,18217.75977,18217.75977,18083.32031,18094.83008,95510000,18094.83008
2016-09-23,42636,18377.35938,18383.75977,18254.83984,18261.44922,87170000,18261.44922
2016-09-22,42635,18343.75977,18449.88086,18343.75977,18392.46094,73030000,18392.46094
2016-09-21,42634,18164.96094,18307.42969,18121.57031,18293.69922,94090000,18293.69922
2016-09-20,42633,18175.35938,18227.21094,18128.80078,18129.96094,72450000,18129.96094
2016-09-19,42632,18154.82031,18254.88086,18093.05078,18120.16992,78090000,18120.16992
2016-09-16,42629,18217.21094,18016.92969,18217.21094,18123.80078,278510000,18123.80078
2016-09-15,42628,18024.91016,18250.10938,18015.49023,18212.48047,99550000,18212.48047
2016-09-14,42627,18073.39063,18163.48047,17992.21094,18034.76953,103360000,18034.76953
2016-09-13,42626,18262.99023,18262.99023,18028.06055,18066.75,102830000,18066.75
2016-09-12,42625,18028.94922,18358.68945,17994.83984,18325.07031,103260000,18325.07031
2016-09-09,42622,18404.16992,18404.16992,18085.44922,18085.44922,120670000,18085.44922
2016-09-08,42621,18486.68945,18506.24023,18446.68945,18479.91016,79060000,18479.91016
2016-09-07,42620,18527.71094,18536.89063,18474.76953,18526.14063,67570000,18526.14063
2016-09-06,42619,18493.40039,18551.53906,18450.32031,18538.11914,83710000,18538.11914
2016-09-02,42615,18466.00977,18544.75977,18439.09961,18491.96094,74350000,18491.96094
2016-09-01,42614,18396.57031,18430.05078,18295.48047,18419.30078,74780000,18419.30078
2016-08-31,42613,18436.69922,18439.67969,18333.56055,18400.88086,98250000,18400.88086
2016-08-30,42612,18491.2793,18514.28906,18408.51953,18454.30078,68920000,18454.30078
2016-08-29,42611,18421.28906,18523.08984,18419.91992,18502.99023,64480000,18502.99023
2016-08-26,42608,18467.91992,18572.08984,18335.33984,18395.40039,78730000,18395.40039
2016-08-25,42607,18471.21094,18497.67969,18431.46094,18448.41016,64480000,18448.41016
